AAJM01,Bacillus thuringiensis serovar israelensis ATCC 35646,Bacillus thuringiensis
AAJX02,Escherichia coli B171,Escherichia coli
AANJ01,Campylobacter jejuni subsp. jejuni CF93-6,Campylobacter jejuni
AANK01,Campylobacter jejuni subsp. jejuni 260.94,Campylobacter jejuni
AANQ01,Campylobacter jejuni subsp. jejuni HB93-13,Campylobacter jejuni
AANT02,Campylobacter jejuni subsp. jejuni 84-25,Campylobacter jejuni
AAOK01 ,Synechococcus sp. WH 7805,NA
AASY01,Campylobacter jejuni subsp. jejuni CG8486,Campylobacter jejuni
AAZW01 ,Vibrionales bacterium SWAT-3,NA
ABBK01,Burkholderia pseudomallei 91,Burkholderia pseudomallei
ABBL01,Burkholderia pseudomallei 9,Burkholderia pseudomallei
ABEW01,Salmonella enterica subsp. enterica serovar Newport str. SL317,Salmonella enterica
ABHK02,Escherichia coli O157:H7 str. EC4206,Escherichia coli
ABHL02,Escherichia coli O157:H7 str. EC4045,Escherichia coli
ABHM02,Escherichia coli O157:H7 str. EC4042,Escherichia coli
ABHO01,Escherichia coli O157:H7 str. EC4196,Escherichia coli
ABHP01,Escherichia coli O157:H7 str. EC4113,Escherichia coli
ABHQ01,Escherichia coli O157:H7 str. EC4076,Escherichia coli
ABHR01,Escherichia coli O157:H7 str. EC4401,Escherichia coli
ABHS01,Escherichia coli O157:H7 str. EC4486,Escherichia coli
ABHT01,Escherichia coli O157:H7 str. EC4501,Escherichia coli
ABHU01,Escherichia coli O157:H7 str. EC869,Escherichia coli
ABHW01,Escherichia coli O157:H7 str. EC508,Escherichia coli
ABJT01,Escherichia coli O157:H7 str. EC4024,Escherichia coli
ABKD01,Campylobacter jejuni subsp. jejuni BH-01-0142,Campylobacter jejuni
ABVY01,Pectobacterium carotovorum subsp. carotovorum WPP14,Pectobacterium carotovorum
ACXE01,Escherichia coli B088,Escherichia coli
ACXF01,Escherichia coli B185,Escherichia coli
ACXG01,Escherichia coli B354,Escherichia coli
ACXN01,Escherichia coli O157:H7 str. FRIK966,Escherichia coli
ACXO01,Escherichia coli O157:H7 str. FRIK2000,Escherichia coli
ADHK01,Campylobacter jejuni subsp. jejuni DFVF1099,Campylobacter jejuni
ADHL01,Campylobacter jejuni subsp. jejuni 305,Campylobacter jejuni
ADHM01,Campylobacter jejuni subsp. jejuni 327,Campylobacter jejuni
ADMX01,Escherichia coli O157:H7 str. EC4009,Escherichia coli
ADUX01,Escherichia coli O157:H7 str. EC4192,Escherichia coli
ADUY01,Escherichia coli O157:H7 str. EC4084,Escherichia coli
ADUZ01,Escherichia coli O157:H7 str. EC4127,Escherichia coli
ADVA01,Escherichia coli O157:H7 str. EC4191,Escherichia coli
ADVB01,Escherichia coli O157:H7 str. EC4205,Escherichia coli
ADVC01,Escherichia coli O157:H7 str. EC536,Escherichia coli
ADXL01 ,Synechococcus sp. CB0101,NA
AE014073.1,Shigella flexneri 2a str. 2457T,Shigella flexneri
AE014075.1,Escherichia coli CFT073,Escherichia coli
AE014075.1 ,Escherichia coli CFT073,Escherichia coli
AE014613.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Salmonella enterica
AEAL01,Pseudomonas syringae pv. actinidiae str. M302091,Pseudomonas syringae
AEAT01,Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4,Lactobacillus delbrueckii
AEIO01,Campylobacter jejuni subsp. jejuni P110B,Campylobacter jejuni
AEIP01,Campylobacter jejuni subsp. jejuni H22082,Campylobacter jejuni
AERP01,Escherichia coli O157:H7 str. 1044,Escherichia coli
AERQ01,Escherichia coli O157:H7 str. EC1212,Escherichia coli
AERR01,Escherichia coli O157:H7 str. 1125,Escherichia coli
AERV01,Salmonella enterica subsp. enterica serovar Typhimurium str. TN061786,Salmonella enterica
AETX01,Escherichia coli O157:H7 str. G5101,Escherichia coli
AETZ01,Escherichia coli O157:H- str. H 2687,Escherichia coli
AEUC01,Escherichia coli O157:H7 str. LSU-61,Escherichia coli
AEXF01,Escherichia coli B093,Escherichia coli
AEXU01,Lactobacillus delbrueckii subsp. lactis DSM 20072,Lactobacillus delbrueckii
AFAH02,Escherichia coli B41,Escherichia coli
AFAO01 ,Helicobacter pylori B45,Helicobacter pylori
AFOB02,Escherichia coli O104:H4 str. LB226692,Escherichia coli
AFPN02,Escherichia coli O104:H4 str. H112180280,Escherichia coli
AFPS01,Escherichia coli O104:H4 str. 01-09591,Escherichia coli
AFRH01,Escherichia coli O104:H4 str. C227-11,Escherichia coli
AFRI01,Escherichia coli O104:H4 str. C236-11,Escherichia coli
AFRK01,Escherichia coli O104:H4 str. 09-7901,Escherichia coli
AFRL01,Escherichia coli O104:H4 str. 04-8351,Escherichia coli
AFRM01,Escherichia coli O104:H4 str. 11-3677,Escherichia coli
AFRO01,Escherichia coli O104:H4 str. H112180541,Escherichia coli
AFSO01,Escherichia coli O104:H4 str. H112180282,Escherichia coli
AFTF01,Pseudomonas syringae pv. actinidiae str. NCPPB 3871,Pseudomonas syringae
AFTG01,Pseudomonas syringae pv. actinidiae str. CRAFRU8.43,Pseudomonas syringae
AFTH01,Pseudomonas syringae pv. actinidiae str. NCPPB 3739,Pseudomonas syringae
AFUX01,Escherichia coli O104:H4 str. 11-4404,Escherichia coli
AFUY01,Escherichia coli O104:H4 str. 11-4522,Escherichia coli
AFUZ01,Escherichia coli O104:H4 str. 11-4623,Escherichia coli
AFVA01,Escherichia coli O104:H4 str. 11-4632 C1,Escherichia coli
AFVB01,Escherichia coli O104:H4 str. 11-4632 C2,Escherichia coli
AFVC01,Escherichia coli O104:H4 str. 11-4632 C3,Escherichia coli
AFVD01,Escherichia coli O104:H4 str. 11-4632 C4,Escherichia coli
AFVE01,Escherichia coli O104:H4 str. 11-4632 C5,Escherichia coli
AFVR01,Escherichia coli O104:H4 str. TY-2482,Escherichia coli
AFWB01,Escherichia coli O104:H4 str. H112180540,Escherichia coli
AFWC01,Escherichia coli O104:H4 str. H112180283,Escherichia coli
AFWO01,Escherichia coli O104:H4 str. GOS1,Escherichia coli
AFWP01,Escherichia coli O104:H4 str. GOS2,Escherichia coli
AGFO01,Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632,Lactobacillus delbrueckii
AGHW01,Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1519,Lactobacillus delbrueckii
AGNO01,Pseudomonas syringae pv. actinidiae CFBP 7286,Pseudomonas syringae
AGNP01,Pseudomonas syringae pv. actinidiae KW41,Pseudomonas syringae
AGNQ01,Pseudomonas syringae pv. actinidiae PA459,Pseudomonas syringae
AGTE01,Campylobacter jejuni subsp. jejuni NW,Campylobacter jejuni
AGTF01,Campylobacter jejuni subsp. jejuni D2600,Campylobacter jejuni
AGTG01,Escherichia coli O157:H- str. 493-89,Escherichia coli
AGUH01,Pseudomonas syringae pv. actinidiae CH2010-6,Pseudomonas syringae
AGVO01,Aeromonas salmonicida subsp. salmonicida 01-B526,Aeromonas salmonicida
AGWF01,Escherichia coli O104:H4 str. Ec11-9450,Escherichia coli
AGWG01,Escherichia coli O104:H4 str. Ec11-9990,Escherichia coli
AGWH01,Escherichia coli O104:H4 str. Ec11-9941,Escherichia coli
AHAU01,Escherichia coli O104:H4 str. E92/11,Escherichia coli
AHAV01,Escherichia coli O104:H4 str. E112/10,Escherichia coli
AHOU01,Escherichia coli O104:H4 str. Ec11-4984,Escherichia coli
AHOV01,Escherichia coli O104:H4 str. Ec11-5604,Escherichia coli
AHOW01,Escherichia coli O104:H4 str. Ec11-4986,Escherichia coli
AHOX01,Escherichia coli O104:H4 str. Ec11-4987,Escherichia coli
AHOY01,Escherichia coli O104:H4 str. Ec11-4988,Escherichia coli
AHOZ01,Escherichia coli O104:H4 str. Ec11-5603,Escherichia coli
AHPA01,Escherichia coli O104:H4 str. Ec11-6006,Escherichia coli
AHTJ01,Salmonella enterica subsp. enterica serovar Newport str. CVM 35185,Salmonella enterica
AHTK01,Salmonella enterica subsp. enterica serovar Newport str. CVM 35199,Salmonella enterica
AHTL01,Salmonella enterica subsp. enterica serovar Newport str. CVM 21539,Salmonella enterica
AHTM01,Salmonella enterica subsp. enterica serovar Newport str. CVM 33953,Salmonella enterica
AHTN01,Salmonella enterica subsp. enterica serovar Newport str. CVM 35188,Salmonella enterica
AHTO01,Salmonella enterica subsp. enterica serovar Newport str. CVM 21559,Salmonella enterica
AHTP01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19447,Salmonella enterica
AHTQ01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19449,Salmonella enterica
AHTR01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19567,Salmonella enterica
AHTS01,Salmonella enterica subsp. enterica serovar Newport str. CVM 35202,Salmonella enterica
AHUB01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19443,Salmonella enterica
AHUC01,Salmonella enterica subsp. enterica serovar Newport str. CVM 37978,Salmonella enterica
AHUD01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19593,Salmonella enterica
AHUE01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19470,Salmonella enterica
AHUF01,Salmonella enterica subsp. enterica serovar Newport str. CVM 19536,Salmonella enterica
AHUG01,Salmonella enterica subsp. enterica serovar Newport str. CVM 4176,Salmonella enterica
AHUL01,Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a,Salmonella enterica
AHUM01,Salmonella enterica subsp. enterica serovar Enteritidis str. 20037,Salmonella enterica
AHUN01,Salmonella enterica subsp. enterica serovar Enteritidis str. SE10,Salmonella enterica
AHUO01,Salmonella enterica subsp. enterica serovar Enteritidis str. 436,Salmonella enterica
AHUP01,Salmonella enterica subsp. enterica serovar Enteritidis str. 18569,Salmonella enterica
AHUQ01,Salmonella enterica subsp. enterica serovar Enteritidis str. 13-1,Salmonella enterica
AHUR01,Salmonella enterica subsp. enterica serovar Enteritidis str. PT23,Salmonella enterica
AHUV01,Salmonella enterica subsp. enterica serovar Typhimurium str. CDC_2009K1153,Salmonella enterica
AHUZ01,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2-4_delta.ramA::kan,Salmonella enterica
AHVA01,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2-4,Salmonella enterica
AHWD01,Brucella melitensis 16M1W,Brucella melitensis
AHWE01,Brucella melitensis 16M13W,Brucella melitensis
AHWG01,Escherichia coli B799,Escherichia coli
AHZD02,Escherichia coli O157:H43 str. T22,Escherichia coli
AHZE01,Escherichia coli O104:H4 str. ON2010,Escherichia coli
AHZF01,Escherichia coli O104:H4 str. ON2011,Escherichia coli
AIAC01,Escherichia coli C1214_90,Escherichia coli
AIAD01,Escherichia coli C1244_91,Escherichia coli
AIAE01,Escherichia coli C12_92,Escherichia coli
AIAF01,Escherichia coli C154_11,Escherichia coli
AIAG01,Escherichia coli C155_11,Escherichia coli
AIAH01,Escherichia coli C157_11,Escherichia coli
AIAI01,Escherichia coli C161_11,Escherichia coli
AIAJ01,Escherichia coli C170_11,Escherichia coli
AIAL01,Escherichia coli C213_10,Escherichia coli
AIAM01,Escherichia coli C2139_99,Escherichia coli
AIAN01,Escherichia coli C238_91,Escherichia coli
AIAO01,Escherichia coli C260_92,Escherichia coli
AIAP01,Escherichia coli C262_10,Escherichia coli
AIAQ01,Escherichia coli C283_09,Escherichia coli
AIAR01,Escherichia coli C295_10,Escherichia coli
AIAS01,Escherichia coli C341_10,Escherichia coli
AIAT01,Escherichia coli C343_08,Escherichia coli
AIAU01,Escherichia coli C347_93,Escherichia coli
AIAV01,Escherichia coli C353_09,Escherichia coli
AIAW01,Escherichia coli C354_03B,Escherichia coli
AIAX01,Escherichia coli C40_11,Escherichia coli
AIAY01,Escherichia coli C418_89,Escherichia coli
AIAZ01,Escherichia coli C458_10,Escherichia coli
AIBA01,Escherichia coli C488_07,Escherichia coli
AIBB01,Escherichia coli C496_10,Escherichia coli
AIBC01,Escherichia coli C497_10,Escherichia coli
AIBD01,Escherichia coli C527_94,Escherichia coli
AIBE01,Escherichia coli C581_05,Escherichia coli
AIBF01,Escherichia coli C58_11,Escherichia coli
AIBG01,Escherichia coli C586_05,Escherichia coli
AIBH01,Escherichia coli C639_08,Escherichia coli
AIBI01,Escherichia coli C652_10,Escherichia coli
AIBJ01,Escherichia coli C654_09,Escherichia coli
AIBK01,Escherichia coli C717_10,Escherichia coli
AIBL01,Escherichia coli C725_88,Escherichia coli
AIBM01,Escherichia coli C732_98,Escherichia coli
AIBN01,Escherichia coli C743_03,Escherichia coli
AIBO01,Escherichia coli C751_03,Escherichia coli
AIBP01,Escherichia coli C78_09C,Escherichia coli
AIBQ01,Escherichia coli C79_08,Escherichia coli
AIBR01,Escherichia coli C792_92,Escherichia coli
AIBS01,Escherichia coli C796_10,Escherichia coli
AIBT01,Escherichia coli C799_92,Escherichia coli
AIBU01,Escherichia coli C80_08,Escherichia coli
AIBV01,Escherichia coli C807_09,Escherichia coli
AIBW01,Escherichia coli C82_11,Escherichia coli
AIBX01,Escherichia coli C824_10,Escherichia coli
AIBY01,Escherichia coli C842_97,Escherichia coli
AIBZ01,Escherichia coli C844_97,Escherichia coli
AICA01,Escherichia coli C87_11,Escherichia coli
AICB01,Escherichia coli C887_10,Escherichia coli
AICC01,Escherichia coli C900_01,Escherichia coli
AICD01,Escherichia coli C93_11,Escherichia coli
AICE01,Escherichia coli C9_92,Escherichia coli
AICF01,Escherichia coli C166_11,Escherichia coli
AINY01,Campylobacter jejuni subsp. jejuni 129-258,Campylobacter jejuni
AINZ01,Campylobacter jejuni subsp. jejuni 51494,Campylobacter jejuni
AIOA01,Campylobacter jejuni subsp. jejuni LMG 23216,Campylobacter jejuni
AIOB01,Campylobacter jejuni subsp. jejuni LMG 23218,Campylobacter jejuni
AIOC01,Campylobacter jejuni subsp. jejuni LMG 23223,Campylobacter jejuni
AIOD01,Campylobacter jejuni subsp. jejuni LMG 23263,Campylobacter jejuni
AIOE01,Campylobacter jejuni subsp. jejuni 60004,Campylobacter jejuni
AIOF01,Campylobacter jejuni subsp. jejuni LMG 23264,Campylobacter jejuni
AIOG01,Campylobacter jejuni subsp. jejuni LMG 23269,Campylobacter jejuni
AIOH01,Campylobacter jejuni subsp. jejuni 55037,Campylobacter jejuni
AIOI01,Campylobacter jejuni subsp. jejuni LMG 9879,Campylobacter jejuni
AIOJ01,Campylobacter jejuni subsp. jejuni 86605,Campylobacter jejuni
AIOK01,Campylobacter jejuni subsp. jejuni LMG 23357,Campylobacter jejuni
AIOL01,Campylobacter jejuni subsp. jejuni ATCC 33560,Campylobacter jejuni
AIOM01,Campylobacter jejuni subsp. jejuni LMG 9081,Campylobacter jejuni
AION01,Campylobacter jejuni subsp. jejuni 53161,Campylobacter jejuni
AIOO01,Campylobacter jejuni subsp. jejuni LMG 9217,Campylobacter jejuni
AIOP01,Campylobacter jejuni subsp. jejuni 2008-1025,Campylobacter jejuni
AIOQ01,Campylobacter jejuni subsp. jejuni 2008-894,Campylobacter jejuni
AIOR01,Campylobacter jejuni subsp. jejuni 2008-872,Campylobacter jejuni
AIOS01,Campylobacter jejuni subsp. jejuni 2008-988,Campylobacter jejuni
AIOT01,Campylobacter jejuni subsp. jejuni 1997-1,Campylobacter jejuni
AIOU01,Campylobacter jejuni subsp. jejuni 2008-979,Campylobacter jejuni
AIOV01,Campylobacter jejuni subsp. jejuni 2008-831,Campylobacter jejuni
AIOW01,Campylobacter jejuni subsp. jejuni 1997-4,Campylobacter jejuni
AIOX01,Campylobacter jejuni subsp. jejuni 1997-7,Campylobacter jejuni
AIOY01,Campylobacter jejuni subsp. jejuni 1997-10,Campylobacter jejuni
AIOZ01,Campylobacter jejuni subsp. jejuni 1997-11,Campylobacter jejuni
AIPA01,Campylobacter jejuni subsp. jejuni 1997-14,Campylobacter jejuni
AIPB01,Campylobacter jejuni subsp. jejuni 51037,Campylobacter jejuni
AIPC01,Campylobacter jejuni subsp. jejuni 110-21,Campylobacter jejuni
AIPD01,Campylobacter jejuni subsp. jejuni 87330,Campylobacter jejuni
AIPE01,Campylobacter jejuni subsp. jejuni 87459,Campylobacter jejuni
AIPF01,Campylobacter jejuni subsp. jejuni 140-16,Campylobacter jejuni
AIPG01,Campylobacter jejuni subsp. jejuni 1213,Campylobacter jejuni
AIPH01,Campylobacter jejuni subsp. jejuni 1577,Campylobacter jejuni
AIPI01,Campylobacter jejuni subsp. jejuni 1798,Campylobacter jejuni
AIPJ01,Campylobacter jejuni subsp. jejuni 1854,Campylobacter jejuni
AIPK01,Campylobacter jejuni subsp. jejuni 1893,Campylobacter jejuni
AIPL01,Campylobacter jejuni subsp. jejuni 1928,Campylobacter jejuni
AIPM01,Campylobacter jejuni subsp. jejuni LMG 9872,Campylobacter jejuni
AIPN01,Campylobacter jejuni subsp. jejuni LMG 23210,Campylobacter jejuni
AIPO01,Campylobacter jejuni subsp. jejuni LMG 23211,Campylobacter jejuni
AIPQ01,Escherichia coli O104:H4 str. Ec12-0465,Escherichia coli
AIPR01,Escherichia coli O104:H4 str. Ec12-0466,Escherichia coli
AJGK01,Salmonella enterica subsp. enterica serovar Typhi str. BL196,Salmonella enterica
AJKU01 ,Cronobacter sakazakii strain 51329,Cronobacter muytjensii
AJMN01,Salmonella enterica subsp. enterica serovar Newport str. Levine 1,Salmonella enterica
AJMO01,Salmonella enterica subsp. enterica serovar Newport str. Levine 15,Salmonella enterica
AJTD01,Salmonella enterica subsp. enterica serovar Typhi str. UJ308A,Salmonella enterica
AJTE01,Salmonella enterica subsp. enterica serovar Typhi str. UJ816A,Salmonella enterica
AJTU01,Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06,Salmonella enterica
AJVD01,Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237,Salmonella enterica
AJWV01,Escherichia coli CUMT8,Escherichia coli
AJXA01,Salmonella enterica subsp. enterica serovar Typhi str. ST0208,Salmonella enterica
AKFN01,Campylobacter jejuni subsp. jejuni P854,Campylobacter jejuni
AKFW01,Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-2599,Salmonella enterica
AKFX01,Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0669,Salmonella enterica
AKFY01,Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0047,Salmonella enterica
AKFZ01,Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0128,Salmonella enterica
AKGA01,Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0627,Salmonella enterica
AKIC01,Salmonella enterica subsp. enterica serovar Typhi str. CR0063,Salmonella enterica
AKZO01,Salmonella enterica subsp. enterica serovar Typhi str. CR0044,Salmonella enterica
ALEI01,Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39,Salmonella enterica
ALEJ01,Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6,Salmonella enterica
ALEK01,Salmonella enterica subsp. enterica serovar Enteritidis str. 640631,Salmonella enterica
ALEL01,Salmonella enterica subsp. enterica serovar Enteritidis str. 77-0424,Salmonella enterica
ALEM01,Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6,Salmonella enterica
ALEN01,Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17,Salmonella enterica
ALEO01,Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22,Salmonella enterica
ALEP01,Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70,Salmonella enterica
ALEQ01,Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26,Salmonella enterica
ALER01,Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37,Salmonella enterica
ALES01,Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46,Salmonella enterica
ALET01,Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50,Salmonella enterica
ALEV01,Salmonella enterica subsp. enterica serovar Enteritidis str. 77-2659,Salmonella enterica
ALEW01,Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757,Salmonella enterica
ALEX01,Salmonella enterica subsp. enterica serovar Enteritidis str. 22510-1,Salmonella enterica
ALEY01,Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1,Salmonella enterica
ALEZ01,Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18,Salmonella enterica
ALFA01,Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18,Salmonella enterica
ALFB01,Salmonella enterica subsp. enterica serovar Enteritidis str. 50-3079,Salmonella enterica
ALFC01,Salmonella enterica subsp. enterica serovar Enteritidis str. 58-6482,Salmonella enterica
ALFD01,Salmonella enterica subsp. enterica serovar Enteritidis str. 22704,Salmonella enterica
ALFE01,Salmonella enterica subsp. enterica serovar Enteritidis str. SE30663,Salmonella enterica
ALFF01,Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44,Salmonella enterica
ALFG01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882,Salmonella enterica
ALFH01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884,Salmonella enterica
ALFI01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594,Salmonella enterica
ALFJ01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566,Salmonella enterica
ALFK01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580,Salmonella enterica
ALFL01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543,Salmonella enterica
ALFM01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441,Salmonella enterica
ALFN01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810,Salmonella enterica
ALFO01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558,Salmonella enterica
ALFP01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018,Salmonella enterica
ALFQ01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010,Salmonella enterica
ALFR01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729,Salmonella enterica
ALFS01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895,Salmonella enterica
ALFT01,Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899,Salmonella enterica
